Export of Imageset lab3 (ball annotations in bounding boxes)
[team|labvision1819]
[set|lab3]
[format: "label::annotation_type|filename|img_width|img_height|x1|y1|x2|y2|center_x|center_y|width|height"]
label::ball|frame1708.jpg|640|480|322|136|406|230|364.0|183.0|84|94
label::ball|frame1707.jpg|640|480|321|135|406|230|363.5|182.5|85|95
label::ball|frame1706.jpg|640|480|320|135|406|230|363.0|182.5|86|95
label::ball|frame1705.jpg|640|480|321|135|406|230|363.5|182.5|85|95
label::ball|frame1704.jpg|640|480|320|134|407|230|363.5|182.0|87|96
label::ball|frame1703.jpg|640|480|321|135|406|230|363.5|182.5|85|95
label::ball|frame1702.jpg|640|480|322|134|406|230|364.0|182.0|84|96
label::ball|frame1701.jpg|640|480|322|134|407|229|364.5|181.5|85|95
label::ball|frame1700.jpg|640|480|321|133|408|229|364.5|181.0|87|96
label::ball|frame1699.jpg|640|480|322|129|409|227|365.5|178.0|87|98
label::ball|frame1698.jpg|640|480|323|131|407|230|365.0|180.5|84|99
label::ball|frame1697.jpg|640|480|325|141|410|234|367.5|187.5|85|93
label::ball|frame1696.jpg|640|480|330|152|413|243|371.5|197.5|83|91
label::ball|frame1695.jpg|640|480|331|156|413|245|372.0|200.5|82|89
label::ball|frame1694.jpg|640|480|331|159|413|253|372.0|206.0|82|94
label::ball|frame1693.jpg|640|480|327|163|409|263|368.0|213.0|82|100
label::ball|frame1692.jpg|640|480|327|169|409|265|368.0|217.0|82|96
label::ball|frame1691.jpg|640|480|332|174|412|265|372.0|219.5|80|91
label::ball|frame1690.jpg|640|480|333|175|413|265|373.0|220.0|80|90
label::ball|frame1689.jpg|640|480|333|175|412|264|372.5|219.5|79|89
label::ball|frame1688.jpg|640|480|331|197|413|280|372.0|238.5|82|83
label::ball|frame1687.jpg|640|480|339|211|413|287|376.0|249.0|74|76
label::ball|frame1686.jpg|640|480|338|221|420|296|379.0|258.5|82|75
label::ball|frame1685.jpg|640|480|339|226|419|300|379.0|263.0|80|74
label::ball|frame1684.jpg|640|480|344|229|420|302|382.0|265.5|76|73
label::ball|frame1683.jpg|640|480|347|232|420|305|383.5|268.5|73|73
label::ball|frame1682.jpg|640|480|347|233|422|310|384.5|271.5|75|77
label::ball|frame1681.jpg|640|480|341|235|416|310|378.5|272.5|75|75
label::ball|frame1680.jpg|640|480|336|238|407|311|371.5|274.5|71|73
label::ball|frame1679.jpg|640|480|317|242|385|310|351.0|276.0|68|68
label::ball|frame1678.jpg|640|480|310|251|376|312|343.0|281.5|66|61
label::ball|frame1677.jpg|640|480|311|257|374|317|342.5|287.0|63|60
label::ball|frame1676.jpg|640|480|311|257|374|314|342.5|285.5|63|57
label::ball|frame1675.jpg|640|480|311|257|373|315|342.0|286.0|62|58
label::ball|frame1674.jpg|640|480|311|258|373|314|342.0|286.0|62|56
label::ball|frame1673.jpg|640|480|311|257|373|314|342.0|285.5|62|57
label::ball|frame1672.jpg|640|480|310|257|373|315|341.5|286.0|63|58
label::ball|frame1671.jpg|640|480|311|257|374|315|342.5|286.0|63|58
label::ball|frame1670.jpg|640|480|311|257|374|315|342.5|286.0|63|58
label::ball|frame1669.jpg|640|480|311|258|373|315|342.0|286.5|62|57
label::ball|frame1668.jpg|640|480|311|258|373|315|342.0|286.5|62|57
label::ball|frame1667.jpg|640|480|310|258|373|315|341.5|286.5|63|57
label::ball|frame1666.jpg|640|480|311|258|374|316|342.5|287.0|63|58
label::ball|frame1665.jpg|640|480|310|258|373|315|341.5|286.5|63|57
label::ball|frame1664.jpg|640|480|310|258|373|314|341.5|286.0|63|56
label::ball|frame1663.jpg|640|480|310|258|373|315|341.5|286.5|63|57
label::ball|frame1662.jpg|640|480|310|258|373|315|341.5|286.5|63|57
label::ball|frame1661.jpg|640|480|310|258|373|315|341.5|286.5|63|57
label::ball|frame1660.jpg|640|480|310|258|373|315|341.5|286.5|63|57
label::ball|frame1659.jpg|640|480|310|258|373|314|341.5|286.0|63|56
label::ball|frame1658.jpg|640|480|311|257|373|315|342.0|286.0|62|58
label::ball|frame1657.jpg|640|480|310|258|373|315|341.5|286.5|63|57
label::ball|frame1656.jpg|640|480|310|257|373|314|341.5|285.5|63|57
label::ball|frame1655.jpg|640|480|310|258|373|315|341.5|286.5|63|57
label::ball|frame1654.jpg|640|480|310|257|374|315|342.0|286.0|64|58
label::ball|frame1653.jpg|640|480|310|258|373|314|341.5|286.0|63|56
label::ball|frame1652.jpg|640|480|310|258|373|315|341.5|286.5|63|57
label::ball|frame1651.jpg|640|480|311|258|373|315|342.0|286.5|62|57
label::ball|frame1650.jpg|640|480|311|258|373|315|342.0|286.5|62|57
label::ball|frame1649.jpg|640|480|310|258|373|315|341.5|286.5|63|57
label::ball|frame1648.jpg|640|480|310|258|374|315|342.0|286.5|64|57
label::ball|frame1647.jpg|640|480|310|258|374|315|342.0|286.5|64|57
label::ball|frame1646.jpg|640|480|310|258|373|315|341.5|286.5|63|57
label::ball|frame1645.jpg|640|480|310|257|373|315|341.5|286.0|63|58
label::ball|frame1644.jpg|640|480|310|257|373|315|341.5|286.0|63|58
label::ball|frame1643.jpg|640|480|311|258|374|316|342.5|287.0|63|58
label::ball|frame1642.jpg|640|480|310|258|373|314|341.5|286.0|63|56
label::ball|frame1641.jpg|640|480|310|257|373|315|341.5|286.0|63|58
label::ball|frame1640.jpg|640|480|311|257|374|315|342.5|286.0|63|58
label::ball|frame1639.jpg|640|480|312|257|375|315|343.5|286.0|63|58
label::ball|frame1638.jpg|640|480|312|257|375|314|343.5|285.5|63|57
label::ball|frame1637.jpg|640|480|307|253|369|313|338.0|283.0|62|60
label::ball|frame1636.jpg|640|480|308|252|372|311|340.0|281.5|64|59
label::ball|frame1635.jpg|640|480|310|251|373|310|341.5|280.5|63|59
label::ball|frame1634.jpg|640|480|314|247|374|307|344.0|277.0|60|60
label::ball|frame1633.jpg|640|480|314|248|374|307|344.0|277.5|60|59
label::ball|frame1632.jpg|640|480|312|244|374|300|343.0|272.0|62|56
label::ball|frame1631.jpg|640|480|312|240|372|296|342.0|268.0|60|56
label::ball|frame1630.jpg|640|480|305|232|362|292|333.5|262.0|57|60
label::ball|frame1629.jpg|640|480|310|222|370|277|340.0|249.5|60|55
label::ball|frame1628.jpg|640|480|314|221|372|276|343.0|248.5|58|55
label::ball|frame1627.jpg|640|480|330|221|388|276|359.0|248.5|58|55
label::ball|frame1626.jpg|640|480|329|211|384|270|356.5|240.5|55|59
label::ball|frame1625.jpg|640|480|332|211|385|270|358.5|240.5|53|59
label::ball|frame1624.jpg|640|480|329|215|384|273|356.5|244.0|55|58
label::ball|frame1623.jpg|640|480|308|209|366|273|337.0|241.0|58|64
label::ball|frame1622.jpg|640|480|303|226|360|280|331.5|253.0|57|54
label::ball|frame1621.jpg|640|480|310|226|367|285|338.5|255.5|57|59
label::ball|frame1620.jpg|640|480|309|236|366|294|337.5|265.0|57|58
label::ball|frame1618.jpg|640|480|295|251|357|311|326.0|281.0|62|60
label::ball|frame1616.jpg|640|480|293|290|360|352|326.5|321.0|67|62
label::ball|frame1615.jpg|640|480|302|302|368|365|335.0|333.5|66|63
label::ball|frame1614.jpg|640|480|303|332|373|398|338.0|365.0|70|66
label::ball|frame1613.jpg|640|480|303|344|373|411|338.0|377.5|70|67
label::ball|frame1612.jpg|640|480|304|348|372|414|338.0|381.0|68|66
label::ball|frame1611.jpg|640|480|289|344|359|414|324.0|379.0|70|70
label::ball|frame1610.jpg|640|480|296|331|366|399|331.0|365.0|70|68
label::ball|frame1609.jpg|640|480|301|326|367|393|334.0|359.5|66|67
label::ball|frame1608.jpg|640|480|317|324|384|389|350.5|356.5|67|65
label::ball|frame1607.jpg|640|480|326|309|391|376|358.5|342.5|65|67
label::ball|frame1606.jpg|640|480|324|302|388|365|356.0|333.5|64|63
label::ball|frame1605.jpg|640|480|319|298|384|365|351.5|331.5|65|67
label::ball|frame1604.jpg|640|480|311|289|377|354|344.0|321.5|66|65
label::ball|frame1603.jpg|640|480|307|282|373|344|340.0|313.0|66|62
label::ball|frame1602.jpg|640|480|310|280|375|343|342.5|311.5|65|63
label::ball|frame1601.jpg|640|480|317|283|380|344|348.5|313.5|63|61
label::ball|frame1600.jpg|640|480|315|276|379|336|347.0|306.0|64|60
label::ball|frame1599.jpg|640|480|316|285|379|347|347.5|316.0|63|62
label::ball|frame1597.jpg|640|480|304|289|371|356|337.5|322.5|67|67
label::ball|frame1594.jpg|640|480|320|326|383|392|351.5|359.0|63|66
label::ball|frame1593.jpg|640|480|317|338|382|399|349.5|368.5|65|61
label::ball|frame1588.jpg|640|480|318|306|383|369|350.5|337.5|65|63
label::ball|frame1587.jpg|640|480|317|304|381|366|349.0|335.0|64|62
label::ball|frame1586.jpg|640|480|315|306|383|372|349.0|339.0|68|66
label::ball|frame1585.jpg|640|480|307|311|370|375|338.5|343.0|63|64
label::ball|frame1584.jpg|640|480|307|305|374|374|340.5|339.5|67|69
label::ball|frame1582.jpg|640|480|305|337|374|400|339.5|368.5|69|63
label::ball|frame1581.jpg|640|480|305|342|372|409|338.5|375.5|67|67
label::ball|frame1580.jpg|640|480|306|342|371|404|338.5|373.0|65|62
label::ball|frame1577.jpg|640|480|274|320|336|386|305.0|353.0|62|66
label::ball|frame1576.jpg|640|480|274|318|336|384|305.0|351.0|62|66
label::ball|frame1575.jpg|640|480|269|308|333|371|301.0|339.5|64|63
label::ball|frame1574.jpg|640|480|265|301|329|365|297.0|333.0|64|64
label::ball|frame1565.jpg|640|480|263|234|325|295|294.0|264.5|62|61
label::ball|frame1564.jpg|640|480|257|233|317|295|287.0|264.0|60|62
label::ball|frame1563.jpg|640|480|270|233|328|289|299.0|261.0|58|56
label::ball|frame1561.jpg|640|480|262|221|317|274|289.5|247.5|55|53
label::ball|frame1560.jpg|640|480|270|225|324|274|297.0|249.5|54|49
label::ball|frame1432.jpg|640|480|285|31|309|55|297.0|43.0|24|24
label::ball|frame1431.jpg|640|480|292|34|315|55|303.5|44.5|23|21
label::ball|frame1430.jpg|640|480|316|41|338|63|327.0|52.0|22|22
label::ball|frame1429.jpg|640|480|325|41|346|62|335.5|51.5|21|21
label::ball|frame1352.jpg|640|480|374|16|394|37|384.0|26.5|20|21
label::ball|frame1351.jpg|640|480|367|18|386|37|376.5|27.5|19|19
label::ball|frame1333.jpg|640|480|246|22|265|39|255.5|30.5|19|17
ball|frame1303.jpg|not_in_image
ball|frame1302.jpg|not_in_image
ball|frame1301.jpg|not_in_image
ball|frame1300.jpg|not_in_image
ball|frame1299.jpg|not_in_image
ball|frame1298.jpg|not_in_image
ball|frame1297.jpg|not_in_image
ball|frame1296.jpg|not_in_image
ball|frame1295.jpg|not_in_image
ball|frame1294.jpg|not_in_image
ball|frame1293.jpg|not_in_image
ball|frame1292.jpg|not_in_image
ball|frame1291.jpg|not_in_image
label::ball|frame1287.jpg|640|480|354|226|407|275|380.5|250.5|53|49
label::ball|frame1286.jpg|640|480|346|243|402|300|374.0|271.5|56|57
label::ball|frame1285.jpg|640|480|350|245|408|299|379.0|272.0|58|54
label::ball|frame1284.jpg|640|480|348|245|407|299|377.5|272.0|59|54
label::ball|frame1283.jpg|640|480|350|244|409|300|379.5|272.0|59|56
label::ball|frame1282.jpg|640|480|343|242|403|300|373.0|271.0|60|58
label::ball|frame1281.jpg|640|480|347|242|406|298|376.5|270.0|59|56
label::ball|frame1280.jpg|640|480|352|243|409|298|380.5|270.5|57|55
label::ball|frame1279.jpg|640|480|353|244|410|304|381.5|274.0|57|60
label::ball|frame1278.jpg|640|480|349|243|408|298|378.5|270.5|59|55
label::ball|frame1277.jpg|640|480|350|241|409|298|379.5|269.5|59|57
label::ball|frame1276.jpg|640|480|340|238|397|293|368.5|265.5|57|55
label::ball|frame1275.jpg|640|480|339|238|397|294|368.0|266.0|58|56
label::ball|frame1274.jpg|640|480|336|241|394|293|365.0|267.0|58|52
label::ball|frame1273.jpg|640|480|331|243|390|299|360.5|271.0|59|56
label::ball|frame1272.jpg|640|480|342|254|403|310|372.5|282.0|61|56
label::ball|frame1271.jpg|640|480|343|258|406|317|374.5|287.5|63|59
label::ball|frame1270.jpg|640|480|347|276|410|340|378.5|308.0|63|64
label::ball|frame1253.jpg|640|480|305|227|357|282|331.0|254.5|52|55
label::ball|frame1252.jpg|640|480|300|211|354|271|327.0|241.0|54|60
label::ball|frame1251.jpg|640|480|303|217|354|273|328.5|245.0|51|56
label::ball|frame1250.jpg|640|480|311|208|364|260|337.5|234.0|53|52
label::ball|frame1248.jpg|640|480|305|206|357|257|331.0|231.5|52|51
label::ball|frame1247.jpg|640|480|303|200|354|253|328.5|226.5|51|53
label::ball|frame1246.jpg|640|480|304|198|354|252|329.0|225.0|50|54
label::ball|frame1245.jpg|640|480|311|199|359|250|335.0|224.5|48|51
label::ball|frame1243.jpg|640|480|306|194|357|243|331.5|218.5|51|49
label::ball|frame1242.jpg|640|480|303|193|355|242|329.0|217.5|52|49
label::ball|frame1241.jpg|640|480|304|188|354|237|329.0|212.5|50|49
label::ball|frame1240.jpg|640|480|305|190|356|237|330.5|213.5|51|47
label::ball|frame1239.jpg|640|480|314|188|360|238|337.0|213.0|46|50
label::ball|frame1238.jpg|640|480|311|180|357|229|334.0|204.5|46|49
label::ball|frame1237.jpg|640|480|311|180|357|229|334.0|204.5|46|49
label::ball|frame1236.jpg|640|480|306|175|355|223|330.5|199.0|49|48
label::ball|frame1235.jpg|640|480|306|171|353|217|329.5|194.0|47|46
label::ball|frame1234.jpg|640|480|313|174|358|219|335.5|196.5|45|45
label::ball|frame1232.jpg|640|480|312|165|356|210|334.0|187.5|44|45
label::ball|frame1231.jpg|640|480|305|164|352|210|328.5|187.0|47|46
label::ball|frame1230.jpg|640|480|305|152|352|197|328.5|174.5|47|45
label::ball|frame1229.jpg|640|480|304|151|350|196|327.0|173.5|46|45
label::ball|frame1228.jpg|640|480|304|157|351|199|327.5|178.0|47|42
label::ball|frame1141.jpg|640|480|319|340|382|405|350.5|372.5|63|65
label::ball|frame1131.jpg|640|480|304|324|365|393|334.5|358.5|61|69
label::ball|frame1128.jpg|640|480|304|325|365|392|334.5|358.5|61|67
label::ball|frame1120.jpg|640|480|290|322|353|389|321.5|355.5|63|67
label::ball|frame1119.jpg|640|480|278|320|342|392|310.0|356.0|64|72
label::ball|frame1116.jpg|640|480|283|319|346|386|314.5|352.5|63|67
label::ball|frame1115.jpg|640|480|276|319|340|387|308.0|353.0|64|68
label::ball|frame1114.jpg|640|480|274|317|336|383|305.0|350.0|62|66
label::ball|frame1559.jpg|640|480|272|220|324|272|298.0|246.0|52|52
label::ball|frame1558.jpg|640|480|258|185|311|236|284.5|210.5|53|51
label::ball|frame1557.jpg|640|480|261|178|314|232|287.5|205.0|53|54
label::ball|frame1556.jpg|640|480|269|180|321|229|295.0|204.5|52|49
label::ball|frame1547.jpg|640|480|225|88|259|124|242.0|106.0|34|36
label::ball|frame1546.jpg|640|480|232|87|261|120|246.5|103.5|29|33
label::ball|frame1545.jpg|640|480|229|89|257|123|243.0|106.0|28|34
label::ball|frame1544.jpg|640|480|236|47|265|73|250.5|60.0|29|26
label::ball|frame1529.jpg|640|480|266|30|287|48|276.5|39.0|21|18
label::ball|frame1520.jpg|640|480|266|27|287|46|276.5|36.5|21|19
label::ball|frame1506.jpg|640|480|269|25|288|44|278.5|34.5|19|19
label::ball|frame1499.jpg|640|480|279|28|299|48|289.0|38.0|20|20
label::ball|frame1498.jpg|640|480|280|21|300|41|290.0|31.0|20|20
label::ball|frame1495.jpg|640|480|285|31|306|53|295.5|42.0|21|22
label::ball|frame1492.jpg|640|480|291|28|312|49|301.5|38.5|21|21
label::ball|frame1491.jpg|640|480|285|19|307|41|296.0|30.0|22|22
label::ball|frame1488.jpg|640|480|290|33|312|56|301.0|44.5|22|23
label::ball|frame1487.jpg|640|480|303|44|328|67|315.5|55.5|25|23
label::ball|frame1486.jpg|640|480|304|49|330|72|317.0|60.5|26|23
label::ball|frame1485.jpg|640|480|286|38|315|63|300.5|50.5|29|25
label::ball|frame1484.jpg|640|480|291|62|318|88|304.5|75.0|27|26
label::ball|frame1483.jpg|640|480|301|55|332|86|316.5|70.5|31|31
label::ball|frame1482.jpg|640|480|300|55|332|85|316.0|70.0|32|30
label::ball|frame1481.jpg|640|480|317|73|346|105|331.5|89.0|29|32
label::ball|frame1480.jpg|640|480|313|82|346|115|329.5|98.5|33|33
label::ball|frame1479.jpg|640|480|318|82|354|116|336.0|99.0|36|34
label::ball|frame1478.jpg|640|480|330|102|364|134|347.0|118.0|34|32
label::ball|frame1477.jpg|640|480|335|92|368|124|351.5|108.0|33|32
label::ball|frame1476.jpg|640|480|330|85|362|115|346.0|100.0|32|30
label::ball|frame1475.jpg|640|480|327|82|357|109|342.0|95.5|30|27
label::ball|frame1474.jpg|640|480|325|73|356|106|340.5|89.5|31|33
label::ball|frame1473.jpg|640|480|322|73|354|106|338.0|89.5|32|33
label::ball|frame1472.jpg|640|480|322|75|354|108|338.0|91.5|32|33
label::ball|frame1471.jpg|640|480|318|78|353|110|335.5|94.0|35|32
label::ball|frame1469.jpg|640|480|315|95|350|128|332.5|111.5|35|33
label::ball|frame1468.jpg|640|480|314|96|352|133|333.0|114.5|38|37
label::ball|frame1467.jpg|640|480|312|98|349|134|330.5|116.0|37|36
label::ball|frame1466.jpg|640|480|312|111|354|147|333.0|129.0|42|36
label::ball|frame1461.jpg|640|480|251|172|306|225|278.5|198.5|55|53
label::ball|frame1460.jpg|640|480|239|185|287|230|263.0|207.5|48|45
label::ball|frame1458.jpg|640|480|171|189|218|234|194.5|211.5|47|45
label::ball|frame1457.jpg|640|480|166|176|209|224|187.5|200.0|43|48
label::ball|frame1447.jpg|640|480|63|115|89|143|76.0|129.0|26|28
label::ball|frame1446.jpg|640|480|78|101|104|129|91.0|115.0|26|28
label::ball|frame1445.jpg|640|480|82|103|108|130|95.0|116.5|26|27
label::ball|frame1444.jpg|640|480|133|78|158|103|145.5|90.5|25|25
label::ball|frame1438.jpg|640|480|335|38|358|58|346.5|48.0|23|20
label::ball|frame1435.jpg|640|480|277|30|303|53|290.0|41.5|26|23
label::ball|frame1013.jpg|640|480|140|236|189|290|164.5|263.0|49|54
label::ball|frame1012.jpg|640|480|141|241|191|295|166.0|268.0|50|54
label::ball|frame1006.jpg|640|480|251|285|309|349|280.0|317.0|58|64
label::ball|frame1005.jpg|640|480|252|284|311|348|281.5|316.0|59|64
label::ball|frame1004.jpg|640|480|241|282|303|348|272.0|315.0|62|66
label::ball|frame1003.jpg|640|480|242|281|305|345|273.5|313.0|63|64
label::ball|frame1002.jpg|640|480|249|280|310|344|279.5|312.0|61|64
label::ball|frame1001.jpg|640|480|251|280|311|346|281.0|313.0|60|66
label::ball|frame1000.jpg|640|480|246|275|307|342|276.5|308.5|61|67
label::ball|frame0999.jpg|640|480|245|272|306|334|275.5|303.0|61|62
label::ball|frame0998.jpg|640|480|240|266|301|330|270.5|298.0|61|64
label::ball|frame0996.jpg|640|480|239|258|296|320|267.5|289.0|57|62
label::ball|frame0995.jpg|640|480|252|255|311|313|281.5|284.0|59|58
label::ball|frame0994.jpg|640|480|253|252|310|311|281.5|281.5|57|59
label::ball|frame0993.jpg|640|480|255|244|314|306|284.5|275.0|59|62
label::ball|frame0992.jpg|640|480|255|244|315|304|285.0|274.0|60|60
label::ball|frame0991.jpg|640|480|245|234|301|290|273.0|262.0|56|56
label::ball|frame0990.jpg|640|480|245|234|296|287|270.5|260.5|51|53
label::ball|frame0989.jpg|640|480|246|232|301|288|273.5|260.0|55|56
label::ball|frame0988.jpg|640|480|239|226|293|278|266.0|252.0|54|52
label::ball|frame0987.jpg|640|480|234|224|288|277|261.0|250.5|54|53
label::ball|frame0986.jpg|640|480|234|227|287|279|260.5|253.0|53|52
label::ball|frame0985.jpg|640|480|220|212|272|263|246.0|237.5|52|51
label::ball|frame0984.jpg|640|480|219|212|271|261|245.0|236.5|52|49
label::ball|frame0983.jpg|640|480|228|207|282|258|255.0|232.5|54|51
label::ball|frame0982.jpg|640|480|238|204|288|255|263.0|229.5|50|51
label::ball|frame0981.jpg|640|480|232|195|285|246|258.5|220.5|53|51
label::ball|frame0980.jpg|640|480|236|202|285|250|260.5|226.0|49|48
label::ball|frame0979.jpg|640|480|224|200|276|254|250.0|227.0|52|54
label::ball|frame0978.jpg|640|480|229|195|282|248|255.5|221.5|53|53
label::ball|frame0977.jpg|640|480|228|203|278|251|253.0|227.0|50|48
label::ball|frame0976.jpg|640|480|253|200|304|248|278.5|224.0|51|48
label::ball|frame0975.jpg|640|480|231|183|281|233|256.0|208.0|50|50
label::ball|frame0950.jpg|640|480|85|159|120|194|102.5|176.5|35|35
label::ball|frame0943.jpg|640|480|86|162|123|196|104.5|179.0|37|34
label::ball|frame0942.jpg|640|480|88|162|125|197|106.5|179.5|37|35
label::ball|frame0937.jpg|640|480|117|175|162|221|139.5|198.0|45|46
label::ball|frame0935.jpg|640|480|122|195|170|240|146.0|217.5|48|45
label::ball|frame0934.jpg|640|480|143|220|188|264|165.5|242.0|45|44
label::ball|frame0933.jpg|640|480|130|235|177|282|153.5|258.5|47|47
label::ball|frame0817.jpg|640|480|285|325|350|392|317.5|358.5|65|67
label::ball|frame0815.jpg|640|480|280|302|341|365|310.5|333.5|61|63
label::ball|frame0814.jpg|640|480|257|291|324|353|290.5|322.0|67|62
label::ball|frame0812.jpg|640|480|238|275|302|337|270.0|306.0|64|62
label::ball|frame0811.jpg|640|480|235|275|298|334|266.5|304.5|63|59
label::ball|frame0810.jpg|640|480|233|274|294|331|263.5|302.5|61|57
label::ball|frame0809.jpg|640|480|237|274|298|334|267.5|304.0|61|60
label::ball|frame0808.jpg|640|480|240|264|302|327|271.0|295.5|62|63
label::ball|frame0807.jpg|640|480|247|273|310|332|278.5|302.5|63|59
label::ball|frame0804.jpg|640|480|260|292|323|358|291.5|325.0|63|66
label::ball|frame0803.jpg|640|480|255|305|324|367|289.5|336.0|69|62
label::ball|frame0770.jpg|640|480|354|276|414|334|384.0|305.0|60|58
label::ball|frame0757.jpg|640|480|357|244|413|299|385.0|271.5|56|55
label::ball|frame0756.jpg|640|480|349|244|407|299|378.0|271.5|58|55
label::ball|frame0754.jpg|640|480|358|244|413|297|385.5|270.5|55|53
label::ball|frame0753.jpg|640|480|355|242|410|297|382.5|269.5|55|55
label::ball|frame0752.jpg|640|480|347|245|401|296|374.0|270.5|54|51
label::ball|frame0751.jpg|640|480|349|242|404|295|376.5|268.5|55|53
label::ball|frame0748.jpg|640|480|353|255|410|309|381.5|282.0|57|54
label::ball|frame0746.jpg|640|480|344|260|405|318|374.5|289.0|61|58
label::ball|frame0745.jpg|640|480|331|276|392|335|361.5|305.5|61|59
label::ball|frame0744.jpg|640|480|328|275|392|337|360.0|306.0|64|62
label::ball|frame0743.jpg|640|480|323|287|389|349|356.0|318.0|66|62
label::ball|frame0742.jpg|640|480|325|301|389|363|357.0|332.0|64|62
label::ball|frame0741.jpg|640|480|325|327|390|392|357.5|359.5|65|65
label::ball|frame0739.jpg|640|480|322|365|390|428|356.0|396.5|68|63
label::ball|frame0738.jpg|640|480|306|354|377|421|341.5|387.5|71|67
label::ball|frame0737.jpg|640|480|307|343|374|409|340.5|376.0|67|66
label::ball|frame0735.jpg|640|480|323|336|392|404|357.5|370.0|69|68
label::ball|frame0734.jpg|640|480|331|333|396|397|363.5|365.0|65|64
label::ball|frame0733.jpg|640|480|334|336|399|400|366.5|368.0|65|64
label::ball|frame0732.jpg|640|480|325|335|391|399|358.0|367.0|66|64
label::ball|frame0731.jpg|640|480|330|326|395|392|362.5|359.0|65|66
label::ball|frame0730.jpg|640|480|332|319|397|384|364.5|351.5|65|65
label::ball|frame0729.jpg|640|480|341|317|405|380|373.0|348.5|64|63
label::ball|frame0728.jpg|640|480|337|308|399|371|368.0|339.5|62|63
label::ball|frame0727.jpg|640|480|333|299|396|363|364.5|331.0|63|64
label::ball|frame0726.jpg|640|480|334|307|398|372|366.0|339.5|64|65
label::ball|frame0724.jpg|640|480|312|306|377|372|344.5|339.0|65|66
label::ball|frame0723.jpg|640|480|320|326|385|390|352.5|358.0|65|64
label::ball|frame0722.jpg|640|480|320|341|391|404|355.5|372.5|71|63
label::ball|frame0721.jpg|640|480|320|344|390|413|355.0|378.5|70|69
label::ball|frame0720.jpg|640|480|320|336|390|400|355.0|368.0|70|64
label::ball|frame0719.jpg|640|480|311|324|378|390|344.5|357.0|67|66
label::ball|frame0718.jpg|640|480|310|318|378|383|344.0|350.5|68|65
label::ball|frame0717.jpg|640|480|312|317|379|380|345.5|348.5|67|63
